# Sequence Name: name of transcript
# ORF Length: length of the longest ORF
# GC Content: GC content of the longest ORF
# Coding Potential Score: coding potential score for a transcript, which is protein-coding RNA if greater than 0 or ncRNA if smaller than 0. '0' indicates that mRNA probability equals lncRNA probability. Also, if the ORF length is shorter than 100nt, '0' is output.
# pc: ORF probability for coding sequence
# pnc: ORF probability for non-coding sequence
# fc: Stop-codon probability for coding sequence
# fnc: Stop-codon probability for non-coding sequence
# Coding Label: 'Coding' represents mRNA and 'Non-coding' represents ncRNA
# 
# Sequence Name	ORF Length	GC Content	Coding Potential Score	Coding Label	pc	pnc	fc	fnc	
GQ247894.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
EU814676.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
MN481106.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
FJ874954.1	138	0.37	-0.551	Non-coding	4.178e-05	7.249e-05	0.01	0.016	
FJ874995.1	138	0.333	-0.508	Non-coding	3.978e-05	6.613e-05	0.011	0.016	
MN481087.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
FJ497029.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ497036.1	156	0.705	-0.525	Non-coding	2.871e-05	4.853e-05	0.007	0.011	
MN481102.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
FJ874974.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ874973.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ874992.1	138	0.333	-0.508	Non-coding	3.978e-05	6.613e-05	0.011	0.016	
AJ441159.1	138	0.37	-0.523	Non-coding	4.289e-05	7.238e-05	0.01	0.016	
DQ008923.1	138	0.37	-0.551	Non-coding	4.178e-05	7.249e-05	0.01	0.016	
DQ629345.1	318	0.553	-0.583	Non-coding	6.047e-08	1.083e-07	0.006	0.014	
KX270947.1	156	0.705	-0.525	Non-coding	2.871e-05	4.853e-05	0.007	0.011	
KX270948.1	156	0.705	-0.525	Non-coding	2.871e-05	4.853e-05	0.007	0.011	
MN481091.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
HO002044.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
HO002038.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
KX270945.1	156	0.705	-0.525	Non-coding	2.871e-05	4.853e-05	0.007	0.011	
FJ497034.1	171	0.719	-0.206	Non-coding	4.883e-03	6.000e-03	0.007	0.011	
MN481095.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
MN481085.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
MN481099.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
FJ874952.1	138	0.37	-0.551	Non-coding	4.178e-05	7.249e-05	0.01	0.016	
KY537278.1	159	0.428	-0.29	Non-coding	5.184e-03	6.929e-03	0.008	0.016	
DQ008932.1	138	0.37	-0.551	Non-coding	4.178e-05	7.249e-05	0.01	0.016	
FJ874996.1	138	0.333	-0.508	Non-coding	3.978e-05	6.613e-05	0.011	0.016	
DQ008947.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
MN481100.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
MN481096.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
MN481084.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
EU814694.1	138	0.37	-0.523	Non-coding	4.289e-05	7.238e-05	0.01	0.016	
AF123828.1	120	0.4	-0.739	Non-coding	3.200e-07	6.700e-07	0.009	0.016	
JF708224.1	129	0.372	-0.249	Non-coding	6.370e-03	8.168e-03	0.01	0.016	
HO002037.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ874994.1	138	0.333	-0.508	Non-coding	3.978e-05	6.613e-05	0.011	0.016	
MN481083.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
EU814693.1	138	0.37	-0.523	Non-coding	4.289e-05	7.238e-05	0.01	0.016	
EU814675.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
EU814683.1	102	0.382	-0.34	Non-coding	6.747e-03	9.481e-03	0.009	0.016	
GQ248235.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ874950.1	138	0.37	-0.551	Non-coding	4.178e-05	7.249e-05	0.01	0.016	
AF123785.1	105	0.352	-0.243	Non-coding	7.265e-03	9.260e-03	0.01	0.016	
GS927769.1	108	0.472	-0.503	Non-coding	5.443e-03	9.002e-03	0.007	0.016	
FJ874993.1	138	0.333	-0.508	Non-coding	3.978e-05	6.613e-05	0.011	0.016	
MN481089.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
LC461852.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
MN481101.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
GQ248404.1	117	0.41	-0.373	Non-coding	6.015e-03	8.731e-03	0.008	0.016	
EU814685.1	102	0.382	-0.34	Non-coding	6.747e-03	9.481e-03	0.009	0.016	
KM103387.1	159	0.421	-1.22	Non-coding	1.288e-07	4.362e-07	0.008	0.016	
KU127420.1	225	0.422	-0.398	Non-coding	1.678e-07	2.499e-07	0.008	0.016	
MN481088.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
AY590840.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
KX270944.1	156	0.705	-0.525	Non-coding	2.871e-05	4.853e-05	0.007	0.011	
MN481090.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
MN481098.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
FJ874971.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ497037.1	156	0.705	-0.525	Non-coding	2.871e-05	4.853e-05	0.007	0.011	
GQ434763.1	156	0.705	-0.525	Non-coding	2.871e-05	4.853e-05	0.007	0.011	
EU814674.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
MN481092.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
HO002049.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
DQ008817.1	138	0.5	-0.437	Non-coding	4.919e-03	7.613e-03	0.007	0.015	
MN481094.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
AY214463.1	333	0.498	-0.383	Non-coding	5.513e-08	8.085e-08	0.007	0.015	
HO002040.1	192	0.417	-0.179	Non-coding	4.841e-03	5.788e-03	0.008	0.016	
MN844020.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
FJ874956.1	138	0.37	-0.551	Non-coding	4.178e-05	7.249e-05	0.01	0.016	
DQ008894.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
KX270942.1	156	0.705	-0.525	Non-coding	2.871e-05	4.853e-05	0.007	0.011	
L24078.1	288	0.559	-0.76	Non-coding	8.809e-08	1.883e-07	0.006	0.014	
GQ435387.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
DQ008900.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ874970.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
EU814684.1	102	0.382	-0.34	Non-coding	6.747e-03	9.481e-03	0.009	0.016	
DQ008948.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
DQ008915.1	114	0.395	-0.684	Non-coding	4.252e-05	8.422e-05	0.009	0.016	
FJ874990.1	138	0.333	-0.508	Non-coding	3.978e-05	6.613e-05	0.011	0.016	
EU814651.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ497028.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ874975.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
MN481093.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
AY054742.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
HO002043.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
GS927770.1	129	0.295	-0.237	Non-coding	5.296e-05	6.711e-05	0.014	0.015	
DQ008910.1	114	0.395	-0.684	Non-coding	4.252e-05	8.422e-05	0.009	0.016	
MN481097.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
DQ008899.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ874951.1	138	0.37	-0.551	Non-coding	4.178e-05	7.249e-05	0.01	0.016	
FJ874972.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ874977.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
DQ008853.1	264	0.659	-0.571	Non-coding	8.979e-08	1.589e-07	0.007	0.012	
DQ629453.1	123	0.545	-1.451	Non-coding	1.291e-07	5.507e-07	0.006	0.014	
EU814692.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
MN481086.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
MN481104.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
KX270943.1	156	0.705	-0.525	Non-coding	2.871e-05	4.853e-05	0.007	0.011	
FJ874976.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ497030.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
HO002050.1	117	0.444	-0.843	Non-coding	3.481e-05	8.088e-05	0.007	0.016	
DQ008916.1	114	0.395	-0.684	Non-coding	4.252e-05	8.422e-05	0.009	0.016	
AH003487.2	195	0.472	-1.19	Non-coding	1.092e-07	3.589e-07	0.007	0.016	
KY532774.1	264	0.386	-0.516	Non-coding	1.342e-07	2.248e-07	0.009	0.016	
MN038137.1	156	0.705	-0.525	Non-coding	2.871e-05	4.853e-05	0.007	0.011	
