#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
GQ248235.1	378	15	0.40118000000000004	10.221994209289551	1	0.00801252	noncoding
FJ874950.1	925	46	0.34173	4.180985450744628	1	0.0339964	noncoding
AF123785.1	1273	115	0.4418	11.033844566345213	-1	0.20997	noncoding
GS927769.1	621	36	0.42504	4.225490379333496	1	0.0386598	noncoding
FJ874993.1	779	46	0.33786000000000005	9.298935890197754	1	0.0175477	noncoding
MN481089.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
LC461852.1	346	13	0.39903999999999995	5.275022315979004	1	0.00377793	noncoding
MN481101.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
GQ248404.1	399	39	0.38534	9.987973976135255	1	0.0203113	noncoding
EU814685.1	763	34	0.29626	4.784558677673339	1	0.0155803	noncoding
KM103387.1	1740	53	0.39071000000000006	8.180796241760255	1	0.0279675	noncoding
KU127420.1	1221	75	0.46961	5.99198932647705	1	0.19524	noncoding
MN481088.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
AY590840.1	935	24	0.32213	6.808822441101075	1	0.0042965	noncoding
KX270944.1	258	52	0.41216	11.999967765808105	1	0.0453374	noncoding
MN481090.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
MN481098.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
FJ874971.1	304	13	0.37276	5.275022315979004	1	0.00318317	noncoding
FJ497037.1	258	52	0.41216	11.999967765808105	1	0.0453374	noncoding
GQ434763.1	258	52	0.41216	11.999967765808105	1	0.0453374	noncoding
EU814674.1	455	25	0.33539	10.383809852600098	1	0.0108751	noncoding
MN481092.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
HO002049.1	682	55	0.4213100000000001	7.909255409240723	-1	0.0381527	noncoding
DQ008817.1	2485	46	0.3216	11.253810691833493	1	0.0247296	noncoding
MN481094.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
AY214463.1	695	111	0.38144999999999996	9.721526145935059	1	0.3481	noncoding
HO002040.1	422	64	0.41842000000000007	6.813767433166503	1	0.0681013	noncoding
MN844020.1	440	46	0.36391	4.180985450744628	1	0.0398759	noncoding
FJ874956.1	925	46	0.34173	4.180985450744628	1	0.0339964	noncoding
DQ008894.1	506	24	0.36278	5.2654733657836905	1	0.00593323	noncoding
KX270942.1	258	52	0.41216	11.999967765808105	1	0.0453374	noncoding
L24078.1	1761	96	0.42728	9.505685997009277	1	0.366503	noncoding
GQ435387.1	377	17	0.37564	10.53492374420166	1	0.00863149	noncoding
DQ008900.1	463	25	0.41072	10.218255043029785	1	0.0138294	noncoding
FJ874970.1	303	13	0.37642	5.275022315979004	1	0.00324865	noncoding
EU814684.1	772	34	0.29626	4.784558677673339	1	0.0155803	noncoding
DQ008948.1	768	22	0.30003	11.21964244842529	1	0.0144242	noncoding
DQ008915.1	875	38	0.37937000000000004	9.1513032913208	1	0.0147513	noncoding
FJ874990.1	778	46	0.34158	9.298935890197754	1	0.0178161	noncoding
EU814651.1	689	27	0.31106	11.165940284729004	1	0.0150358	noncoding
FJ497028.1	272	2	0.40104	4.596478462219238	-1	0.00842907	noncoding
FJ874975.1	304	13	0.37276	5.275022315979004	1	0.00318317	noncoding
MN481093.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
AY054742.1	991	46	0.28303	4.180985450744628	1	0.0523796	noncoding
HO002043.1	362	40	0.44411	9.894108009338382	-1	0.0761424	noncoding
GS927770.1	656	43	0.42062	7.980235099792481	1	0.0208617	noncoding
DQ008910.1	874	38	0.30494	9.1513032913208	1	0.0120318	noncoding
MN481097.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
DQ008899.1	517	25	0.34336	10.383809852600098	1	0.0108446	noncoding
FJ874951.1	925	46	0.34173	4.180985450744628	1	0.0339964	noncoding
FJ874972.1	304	13	0.353	5.275022315979004	1	0.00295627	noncoding
FJ874977.1	304	13	0.353	5.275022315979004	1	0.00295627	noncoding
DQ008853.1	898	88	0.33229	11.658543205261232	1	0.0764746	noncoding
DQ629453.1	1460	41	0.32127	11.722947120666507	1	0.0215236	noncoding
EU814692.1	585	46	0.37363	4.180985450744628	1	0.0440673	noncoding
MN481086.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
MN481104.1	520	46	0.34546	4.180985450744628	1	0.0346209	noncoding
KX270943.1	258	52	0.41216	11.999967765808105	1	0.0453374	noncoding
FJ874976.1	304	13	0.353	5.275022315979004	1	0.00295627	noncoding
FJ497030.1	220	2	0.42633000000000004	4.596478462219238	-1	0.00930011	noncoding
HO002050.1	435	39	0.41934	5.945210838317871	1	0.0182037	noncoding
DQ008916.1	875	38	0.36251	9.1513032913208	1	0.013355	noncoding
AH003487.2	1425	65	0.37401999999999996	10.5670934677124	1	0.0600836	noncoding
KY532774.1	642	88	0.46879	10.620408821105958	1	0.516692	coding
MN038137.1	258	52	0.41216	11.999967765808105	1	0.0453374	noncoding
